"One of us snores","Frequent bathroom","Sick","No longer physically intimate","prefer different room temperature","Argument or fight","Not enough space","Dont want to share the covers","Sleep with child","Different sleep time","att20","Hypothesis 1","Hypothesis 2","Hypothesis 3","Age","StartDate","EndDate","Which of the following best describes your current relationship status?","How long have you been in your current relationship? If you are not currently in a relationship, please answer according to your last relationship.","When both you and your partner are at home, how often do you sleep in separate beds?","When you're not sleeping in the same bed as your partner, where do you typically sleep?","att7","When you're not sleeping in the same bed, where does your partner typically sleep?","att9","When was the first time you slept in separate beds?","Which of the following best describes your current occupation?","att26","Gender","Household Income","Education","Location (Census Region)"
"-","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Strongly agree","Somewhat disagree","Somewhat disagree","45-60",9/7/14 6:41 PM,9/7/14 6:43 PM,"In a domestic partnership or civil union","16-20 years","A few times per month","On the couch/chair",,"On the couch/chair",,"Within 6-10 years of our relationship","Personal Care and Service Occupations",,"Female","$100,000 - $149,999","Graduate degree","New England"
"-","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Strongly disagree","Somewhat agree","Strongly disagree","30-44",9/7/14 6:41 PM,9/7/14 6:45 PM,"Married","11-15 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 6-10 years of our relationship","Healthcare Support Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Neither agree nor disagree","> 60",9/7/14 6:41 PM,9/7/14 6:43 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"Separate bedroom",,"Within 11-15 years of our relationship","Food Preparation and Serving Related Occupations",,"Male","$25,000 - $49,999","Bachelor degree","New England"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:41 PM,9/7/14 6:42 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Business and Financial Operations Occupations",,"Female","$150,000+","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:41 PM,9/7/14 6:42 PM,"Married","6-10 years","Never",,,,,,"Healthcare Support Occupations",,"Male","$50,000 - $99,999","Bachelor degree","East North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Strongly disagree","45-60",9/7/14 6:41 PM,9/7/14 6:43 PM,"Married","More than 20 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within 11-15 years of our relationship","Legal Occupations",,"Female","$100,000 - $149,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Somewhat agree","Strongly disagree","Strongly disagree","45-60",9/7/14 6:41 PM,9/7/14 6:43 PM,"Divorced","11-15 years","Once a month or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Building and Grounds Cleaning and Maintenance Occupations",,"Male",,"Some college or Associate degree","Pacific"
"-","-","-","We are no longer physically intimate","-","-","-","-","-","-","-","Somewhat agree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:41 PM,9/7/14 6:43 PM,"Married","More than 20 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"After 20 years of our relationship","Other (please specify)","retired","Male","$50,000 - $99,999","Graduate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:41 PM,9/7/14 6:41 PM,"Married","16-20 years","Every night",,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:41 PM,9/7/14 6:41 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Female","$25,000 - $49,999","Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","18-29",9/7/14 6:41 PM,9/7/14 6:42 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Other (please specify)","Education Non-Profit/National Service - teaching","Female","$0 - $24,999","Bachelor degree","West South Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:41 PM,9/7/14 6:41 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","Retired","Male","$50,000 - $99,999","Graduate degree","Middle Atlantic"
"One of us snores","-","One of us is sick","-","-","-","-","-","-","Night working/very different sleeping times","Other (please specify)","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","> 60",9/7/14 6:40 PM,9/7/14 6:44 PM,"Married","More than 20 years","Once a year or less","On the couch/chair",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Education, Training, and Library Occupations",,"Male","$50,000 - $99,999","Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:40 PM,9/7/14 6:41 PM,"Single, but cohabiting with a significant other","Less than 1 year","Never",,,,,,"Building and Grounds Cleaning and Maintenance Occupations",,"Male","$150,000+","Less than high school degree","West South Central"
"-","-","-","-","-","-","Not enough space","-","-","Night working/very different sleeping times","-","Strongly disagree","Neither agree nor disagree","Strongly disagree","18-29",9/7/14 6:40 PM,9/7/14 6:43 PM,"Single, but cohabiting with a significant other","1-5 years","Once a month or less","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"Other (please specify)","his parents house","Within the first 1-5 years of our relationship","Other (please specify)","horticulture","Female","$25,000 - $49,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:40 PM,9/7/14 6:41 PM,"Married","More than 20 years","Never",,,,,,"Transportation and Materials Moving Occupations",,"Male",,"Bachelor degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:40 PM,9/7/14 6:41 PM,"Married","More than 20 years","Never",,,,,,"Other (please specify)","homemaker","Female","$25,000 - $49,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:40 PM,9/7/14 6:41 PM,"Married","11-15 years","Never",,,,,,"Education, Training, and Library Occupations",,"Male","$25,000 - $49,999","Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:40 PM,9/7/14 6:40 PM,"Separated",,,,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:40 PM,9/7/14 6:41 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Bachelor degree","South Atlantic"
"-","-","One of us is sick","-","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","30-44",9/7/14 6:40 PM,9/7/14 6:41 PM,"Married","11-15 years","A few times per month","Shared bedroom, different bed",,"Shared bedroom, different bed",,"Within 11-15 years of our relationship","Healthcare Support Occupations",,"Female",,"Graduate degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:39 PM,9/7/14 6:40 PM,"Married","1-5 years","Never",,,,,,"Community and Social Service Occupations",,"Male",,"Bachelor degree","Mountain"
"One of us snores","One of us makes frequent bathroom trips in the night","-","We are no longer physically intimate","-","-","-","-","-","-","-","Neither agree nor disagree","Neither agree nor disagree","Strongly disagree","45-60",9/7/14 6:39 PM,9/7/14 6:41 PM,"Married","More than 20 years","Every night","Shared bedroom, different bed",,"Separate bedroom",,"Within 11-15 years of our relationship","Other (please specify)","sAFETY","Male","$100,000 - $149,999","Graduate degree","West North Central"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:39 PM,9/7/14 6:43 PM,"Married","More than 20 years","A few times per month","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 16-20 years of our relationship","Business and Financial Operations Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:39 PM,9/7/14 6:40 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","retired",,,,
"-","-","-","-","-","-","-","-","-","-","Other (please specify)","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","30-44",9/7/14 6:39 PM,9/7/14 6:41 PM,"Married","More than 20 years","Every night","Shared bedroom, but one of us sleeps on the floor",,"Shared bedroom, but one of us sleeps on the floor",,"Within 16-20 years of our relationship","Office and Administrative Support Occupations",,"Female",,"Some college or Associate degree","Mountain"
"-","-","-","-","-","-","-","-","-","Night working/very different sleeping times","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","45-60",9/7/14 6:39 PM,9/7/14 6:41 PM,"Married","11-15 years","Every night","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Sales and Related Occupations",,"Female","$50,000 - $99,999","High school degree","Pacific"
"-","-","-","We are no longer physically intimate","-","-","-","-","-","-","-","Neither agree nor disagree","Somewhat agree","Strongly disagree","> 60",9/7/14 6:39 PM,9/7/14 6:42 PM,"Married","More than 20 years","Once a month or less","On the couch/chair",,"On the couch/chair",,"Within 11-15 years of our relationship","Other (please specify)","Retired","Male","$100,000 - $149,999","Graduate degree","West North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:39 PM,9/7/14 6:39 PM,"Married","11-15 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$50,000 - $99,999","Some college or Associate degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:39 PM,9/7/14 6:39 PM,"Married","1-5 years","Never",,,,,,"Management Occupations",,"Female",,"Graduate degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","-","-","-","Strongly disagree","Strongly disagree","Strongly disagree","45-60",9/7/14 6:39 PM,9/7/14 6:40 PM,"Married","16-20 years","Every night","Shared bedroom, but one of us sleeps on the floor",,"Shared bedroom, but one of us sleeps on the floor",,"After 20 years of our relationship","Education, Training, and Library Occupations",,"Male","$25,000 - $49,999","Bachelor degree","South Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:38 PM,9/7/14 6:39 PM,"Single, but cohabiting with a significant other","6-10 years","Never",,,,,,"Arts, Design, Entertainment, Sports, and Media Occupations",,"Male","$25,000 - $49,999","Bachelor degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:38 PM,9/7/14 6:39 PM,"Single, but cohabiting with a significant other","1-5 years","Never",,,,,,"Healthcare Support Occupations",,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","45-60",9/7/14 6:38 PM,9/7/14 6:39 PM,"Married","More than 20 years","Never",,,,,,"Healthcare Support Occupations",,"Male","$100,000 - $149,999","Graduate degree","Middle Atlantic"
"One of us snores","One of us makes frequent bathroom trips in the night","-","-","-","-","-","-","-","-","-","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","> 60",9/7/14 6:38 PM,9/7/14 6:40 PM,"Married","More than 20 years","Every night","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"After 20 years of our relationship","Other (please specify)","retired","Male","$100,000 - $149,999","Some college or Associate degree","South Atlantic"
"-","-","One of us is sick","-","-","We've had an argument or fight","-","-","One of us needs to sleep with a child","Night working/very different sleeping times","-","Strongly disagree","Somewhat disagree","Strongly disagree","18-29",9/7/14 6:38 PM,9/7/14 6:40 PM,"Married","6-10 years","Once a year or less","Separate bedroom",,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,"Within the first 1-5 years of our relationship","Other (please specify)","Homemaker","Female",,"Some college or Associate degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",9/7/14 6:38 PM,9/7/14 6:39 PM,"Single, but cohabiting with a significant other","6-10 years","Every night",,,,,,,,,,,
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:38 PM,9/7/14 6:38 PM,"Single, but cohabiting with a significant other","Less than 1 year","Never",,,,,,"Personal Care and Service Occupations",,"Female","$50,000 - $99,999","High school degree","Middle Atlantic"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:37 PM,9/7/14 6:39 PM,"Married","16-20 years","Never",,,,,,"Other (please specify)","Retired","Male","$150,000+","Some college or Associate degree","West South Central"
"One of us snores","-","-","-","We have different temperature preferences for the room","We've had an argument or fight","-","-","-","-","Other (please specify)","Neither agree nor disagree","Somewhat agree","Strongly disagree","30-44",9/7/14 6:37 PM,9/7/14 6:40 PM,"Married","11-15 years","A few times per week","I sleep in our shared bed, my partner is the one who sleeps somewhere else",,"On the couch/chair",,"Within 11-15 years of our relationship","Other (please specify)","Administrative Assistant","Female","$25,000 - $49,999","High school degree","South Atlantic"
"One of us snores","-","-","-","-","-","-","-","One of us needs to sleep with a child","-","-","Neither agree nor disagree","Strongly agree","Strongly disagree","30-44",9/7/14 6:35 PM,9/7/14 6:39 PM,"Married","11-15 years","Every night","Separate bedroom",,"Separate bedroom",,"Within the first 1-5 years of our relationship","Office and Administrative Support Occupations",,"Female","$50,000 - $99,999","Some college or Associate degree","Pacific"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","> 60",9/7/14 6:37 PM,9/7/14 6:38 PM,"Married","More than 20 years","Never",,,,,,"Office and Administrative Support Occupations",,"Female",,"Bachelor degree","East North Central"
"-","-","-","-","-","-","-","-","-","-","-","-","-","-","30-44",9/7/14 6:37 PM,9/7/14 6:38 PM,"Married","6-10 years","Never",,,,,,"Healthcare Support Occupations",,"Female","$50,000 - $99,999","High school degree","South Atlantic"
